Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,066062,1897,08,9.1,Y
IDCJAC0004,066062,1897,09,11.5,Y
IDCJAC0004,066062,1897,10,12.8,Y
IDCJAC0004,066062,1897,11,16.3,Y
IDCJAC0004,066062,1897,12,17.7,Y
IDCJAC0004,066062,1898,01,19.0,Y
IDCJAC0004,066062,1898,02,18.8,Y
IDCJAC0004,066062,1898,03,17.8,Y
IDCJAC0004,066062,1898,04,14.1,Y
IDCJAC0004,066062,1898,05,10.5,Y
IDCJAC0004,066062,1898,06,9.5,Y
IDCJAC0004,066062,1898,07,7.4,Y
IDCJAC0004,066062,1898,08,9.1,Y
IDCJAC0004,066062,1898,09,11.8,Y
IDCJAC0004,066062,1898,10,14.0,Y
IDCJAC0004,066062,1898,11,16.4,Y
IDCJAC0004,066062,1898,12,16.1,Y
IDCJAC0004,066062,1899,01,17.8,Y
IDCJAC0004,066062,1899,02,18.1,Y
IDCJAC0004,066062,1899,03,17.0,Y
IDCJAC0004,066062,1899,04,15.3,Y
IDCJAC0004,066062,1899,05,10.7,Y
IDCJAC0004,066062,1899,06,9.6,Y
IDCJAC0004,066062,1899,07,7.9,Y
IDCJAC0004,066062,1899,08,9.5,Y
IDCJAC0004,066062,1899,09,12.6,Y
IDCJAC0004,066062,1899,10,12.2,Y
IDCJAC0004,066062,1899,11,15.5,Y
IDCJAC0004,066062,1899,12,18.0,Y
IDCJAC0004,066062,1900,01,18.5,Y
IDCJAC0004,066062,1900,02,19.2,Y
IDCJAC0004,066062,1900,03,17.8,Y
IDCJAC0004,066062,1900,04,13.7,Y
IDCJAC0004,066062,1900,05,10.9,Y
IDCJAC0004,066062,1900,06,10.8,Y
IDCJAC0004,066062,1900,07,7.4,Y
IDCJAC0004,066062,1900,08,8.0,Y
IDCJAC0004,066062,1900,09,9.9,Y
IDCJAC0004,066062,1900,10,12.7,Y
IDCJAC0004,066062,1900,11,15.6,Y
IDCJAC0004,066062,1900,12,17.5,Y
IDCJAC0004,066062,1901,01,17.1,Y
IDCJAC0004,066062,1901,02,18.3,Y
IDCJAC0004,066062,1901,03,17.1,Y
IDCJAC0004,066062,1901,04,14.9,Y
IDCJAC0004,066062,1901,05,11.1,Y
IDCJAC0004,066062,1901,06,7.1,Y
IDCJAC0004,066062,1901,07,6.9,Y
IDCJAC0004,066062,1901,08,8.2,Y
IDCJAC0004,066062,1901,09,12.2,Y
IDCJAC0004,066062,1901,10,13.5,Y
IDCJAC0004,066062,1901,11,15.6,Y
IDCJAC0004,066062,1901,12,16.8,Y
IDCJAC0004,066062,1902,01,17.9,Y
IDCJAC0004,066062,1902,02,18.3,Y
IDCJAC0004,066062,1902,03,16.6,Y
IDCJAC0004,066062,1902,04,13.9,Y
IDCJAC0004,066062,1902,05,10.8,Y
IDCJAC0004,066062,1902,06,9.2,Y
IDCJAC0004,066062,1902,07,7.8,Y
IDCJAC0004,066062,1902,08,8.3,Y
IDCJAC0004,066062,1902,09,11.2,Y
IDCJAC0004,066062,1902,10,14.1,Y
IDCJAC0004,066062,1902,11,17.3,Y
IDCJAC0004,066062,1902,12,18.3,Y
IDCJAC0004,066062,1903,01,18.1,Y
IDCJAC0004,066062,1903,02,18.8,Y
IDCJAC0004,066062,1903,03,19.3,Y
IDCJAC0004,066062,1903,04,14.9,Y
IDCJAC0004,066062,1903,05,11.4,Y
IDCJAC0004,066062,1903,06,8.7,Y
IDCJAC0004,066062,1903,07,7.9,Y
IDCJAC0004,066062,1903,08,8.6,Y
IDCJAC0004,066062,1903,09,11.6,Y
IDCJAC0004,066062,1903,10,13.0,Y
IDCJAC0004,066062,1903,11,14.9,Y
IDCJAC0004,066062,1903,12,17.4,Y
IDCJAC0004,066062,1904,01,18.1,Y
IDCJAC0004,066062,1904,02,17.4,Y
IDCJAC0004,066062,1904,03,16.4,Y
IDCJAC0004,066062,1904,04,15.1,Y
IDCJAC0004,066062,1904,05,12.2,Y
IDCJAC0004,066062,1904,06,6.9,Y
IDCJAC0004,066062,1904,07,8.6,Y
IDCJAC0004,066062,1904,08,8.4,Y
IDCJAC0004,066062,1904,09,9.4,Y
IDCJAC0004,066062,1904,10,13.3,Y
IDCJAC0004,066062,1904,11,16.6,Y
IDCJAC0004,066062,1904,12,18.0,Y
IDCJAC0004,066062,1905,01,18.9,Y
IDCJAC0004,066062,1905,02,18.3,Y
IDCJAC0004,066062,1905,03,17.7,Y
IDCJAC0004,066062,1905,04,15.7,Y
IDCJAC0004,066062,1905,05,11.9,Y
IDCJAC0004,066062,1905,06,8.8,Y
IDCJAC0004,066062,1905,07,6.9,Y
IDCJAC0004,066062,1905,08,8.0,Y
IDCJAC0004,066062,1905,09,8.5,Y
IDCJAC0004,066062,1905,10,10.5,Y
IDCJAC0004,066062,1905,11,14.9,Y
IDCJAC0004,066062,1905,12,16.5,Y
IDCJAC0004,066062,1906,01,17.9,Y
IDCJAC0004,066062,1906,02,19.2,Y
IDCJAC0004,066062,1906,03,16.5,Y
IDCJAC0004,066062,1906,04,15.4,Y
IDCJAC0004,066062,1906,05,12.2,Y
IDCJAC0004,066062,1906,06,9.7,Y
IDCJAC0004,066062,1906,07,7.8,Y
IDCJAC0004,066062,1906,08,8.6,Y
IDCJAC0004,066062,1906,09,10.8,Y
IDCJAC0004,066062,1906,10,13.6,Y
IDCJAC0004,066062,1906,11,14.1,Y
IDCJAC0004,066062,1906,12,16.7,Y
