Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,094029,1928,04,18.7,Y
IDCJAC0002,094029,1928,05,14.1,Y
IDCJAC0002,094029,1928,06,11.6,Y
IDCJAC0002,094029,1928,07,12.7,Y
IDCJAC0002,094029,1928,08,14.0,Y
IDCJAC0002,094029,1928,09,14.9,Y
IDCJAC0002,094029,1928,10,14.7,Y
IDCJAC0002,094029,1928,11,18.4,Y
IDCJAC0002,094029,1928,12,20.3,Y
IDCJAC0002,094029,1929,01,21.4,Y
IDCJAC0002,094029,1929,02,22.5,Y
IDCJAC0002,094029,1929,03,19.5,Y
IDCJAC0002,094029,1929,04,17.5,Y
IDCJAC0002,094029,1929,05,14.6,Y
IDCJAC0002,094029,1929,06,11.5,Y
IDCJAC0002,094029,1929,07,10.5,Y
IDCJAC0002,094029,1929,08,13.1,Y
IDCJAC0002,094029,1929,09,14.5,Y
IDCJAC0002,094029,1929,10,16.2,Y
IDCJAC0002,094029,1929,11,16.6,Y
IDCJAC0002,094029,1929,12,17.6,Y
IDCJAC0002,094029,1930,01,20.9,Y
IDCJAC0002,094029,1930,02,22.6,Y
IDCJAC0002,094029,1930,03,21.1,Y
IDCJAC0002,094029,1930,04,16.0,Y
IDCJAC0002,094029,1930,05,15.2,Y
IDCJAC0002,094029,1930,06,11.2,Y
IDCJAC0002,094029,1930,07,13.0,Y
