Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,023034,1980,01,14.3,Y
IDCJAC0004,023034,1980,02,15.0,Y
IDCJAC0004,023034,1980,03,13.2,Y
IDCJAC0004,023034,1980,04,13.5,Y
IDCJAC0004,023034,1980,05,10.3,Y
IDCJAC0004,023034,1980,06,7.7,Y
IDCJAC0004,023034,1980,07,7.6,Y
IDCJAC0004,023034,1980,08,7.4,Y
IDCJAC0004,023034,1980,09,9.9,Y
IDCJAC0004,023034,1980,10,10.3,Y
IDCJAC0004,023034,1980,11,13.4,Y
IDCJAC0004,023034,1980,12,14.7,Y
IDCJAC0004,023034,1981,01,18.7,Y
IDCJAC0004,023034,1981,02,17.4,Y
IDCJAC0004,023034,1981,03,13.3,Y
IDCJAC0004,023034,1981,04,12.1,Y
IDCJAC0004,023034,1981,05,10.4,Y
IDCJAC0004,023034,1981,06,8.6,Y
IDCJAC0004,023034,1981,07,7.7,Y
IDCJAC0004,023034,1981,08,8.0,Y
IDCJAC0004,023034,1981,09,10.0,Y
IDCJAC0004,023034,1981,10,9.8,Y
IDCJAC0004,023034,1981,11,13.3,Y
IDCJAC0004,023034,1981,12,13.9,Y
IDCJAC0004,023034,1982,01,18.0,Y
IDCJAC0004,023034,1982,02,15.8,Y
IDCJAC0004,023034,1982,03,14.8,Y
IDCJAC0004,023034,1982,04,12.0,Y
IDCJAC0004,023034,1982,05,9.9,Y
IDCJAC0004,023034,1982,06,5.2,Y
IDCJAC0004,023034,1982,07,5.1,Y
IDCJAC0004,023034,1982,08,6.8,Y
IDCJAC0004,023034,1982,09,8.0,Y
IDCJAC0004,023034,1982,10,10.6,Y
IDCJAC0004,023034,1982,11,12.9,Y
IDCJAC0004,023034,1982,12,14.4,Y
IDCJAC0004,023034,1983,01,14.2,Y
IDCJAC0004,023034,1983,02,17.4,Y
IDCJAC0004,023034,1983,03,15.5,Y
IDCJAC0004,023034,1983,04,11.2,Y
IDCJAC0004,023034,1983,05,9.2,Y
IDCJAC0004,023034,1983,06,5.9,Y
IDCJAC0004,023034,1983,07,6.5,Y
IDCJAC0004,023034,1983,08,8.2,Y
IDCJAC0004,023034,1983,09,9.3,Y
IDCJAC0004,023034,1983,10,10.4,Y
IDCJAC0004,023034,1983,11,12.8,Y
IDCJAC0004,023034,1983,12,14.6,Y
IDCJAC0004,023034,1984,01,15.2,Y
IDCJAC0004,023034,1984,02,15.2,Y
IDCJAC0004,023034,1984,03,13.5,Y
IDCJAC0004,023034,1984,04,10.5,Y
IDCJAC0004,023034,1984,05,9.8,Y
IDCJAC0004,023034,1984,06,6.6,Y
IDCJAC0004,023034,1984,07,6.5,Y
IDCJAC0004,023034,1984,08,8.8,Y
IDCJAC0004,023034,1984,09,8.4,Y
IDCJAC0004,023034,1984,10,10.4,Y
IDCJAC0004,023034,1984,11,13.7,Y
IDCJAC0004,023034,1984,12,15.1,Y
IDCJAC0004,023034,1985,01,15.1,Y
IDCJAC0004,023034,1985,02,15.3,Y
IDCJAC0004,023034,1985,03,15.6,Y
IDCJAC0004,023034,1985,04,11.5,Y
IDCJAC0004,023034,1985,05,8.7,Y
