Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,023034,1976,11,23.0,Y
IDCJAC0002,023034,1976,12,26.3,Y
IDCJAC0002,023034,1977,01,28.5,Y
IDCJAC0002,023034,1977,02,29.0,Y
IDCJAC0002,023034,1977,03,24.6,Y
IDCJAC0002,023034,1977,04,20.2,Y
IDCJAC0002,023034,1977,05,18.5,Y
IDCJAC0002,023034,1977,06,15.3,Y
IDCJAC0002,023034,1977,07,15.3,Y
IDCJAC0002,023034,1977,08,19.0,Y
IDCJAC0002,023034,1977,09,17.8,Y
IDCJAC0002,023034,1977,10,22.5,Y
IDCJAC0002,023034,1977,11,23.5,Y
IDCJAC0002,023034,1977,12,27.3,Y
IDCJAC0002,023034,1978,01,26.6,Y
IDCJAC0002,023034,1978,02,27.1,Y
IDCJAC0002,023034,1978,03,26.0,Y
IDCJAC0002,023034,1978,04,22.2,Y
IDCJAC0002,023034,1978,05,19.0,Y
IDCJAC0002,023034,1978,06,15.5,Y
IDCJAC0002,023034,1978,07,14.4,Y
IDCJAC0002,023034,1978,08,14.8,Y
IDCJAC0002,023034,1978,09,16.8,Y
IDCJAC0002,023034,1978,10,21.3,Y
IDCJAC0002,023034,1978,11,23.0,Y
IDCJAC0002,023034,1978,12,25.8,Y
IDCJAC0002,023034,1979,01,31.4,Y
IDCJAC0002,023034,1979,02,29.1,Y
IDCJAC0002,023034,1979,03,25.8,Y
IDCJAC0002,023034,1979,04,20.9,Y
IDCJAC0002,023034,1979,05,17.8,Y
IDCJAC0002,023034,1979,06,17.4,Y
IDCJAC0002,023034,1979,07,15.7,Y
IDCJAC0002,023034,1979,08,15.5,Y
IDCJAC0002,023034,1979,09,17.7,Y
IDCJAC0002,023034,1979,10,20.0,Y
IDCJAC0002,023034,1979,11,24.4,Y
IDCJAC0002,023034,1979,12,25.8,Y
IDCJAC0002,023034,1980,01,25.7,Y
IDCJAC0002,023034,1980,02,27.8,Y
IDCJAC0002,023034,1980,03,25.3,Y
IDCJAC0002,023034,1980,04,24.4,Y
IDCJAC0002,023034,1980,05,20.1,Y
IDCJAC0002,023034,1980,06,15.8,Y
IDCJAC0002,023034,1980,07,15.3,Y
IDCJAC0002,023034,1980,08,17.1,Y
IDCJAC0002,023034,1980,09,19.6,Y
IDCJAC0002,023034,1980,10,21.6,Y
IDCJAC0002,023034,1980,11,25.7,Y
IDCJAC0002,023034,1980,12,28.1,Y
IDCJAC0002,023034,1981,01,31.6,Y
IDCJAC0002,023034,1981,02,30.0,Y
IDCJAC0002,023034,1981,03,22.9,Y
IDCJAC0002,023034,1981,04,24.1,Y
IDCJAC0002,023034,1981,05,18.4,Y
IDCJAC0002,023034,1981,06,15.6,Y
IDCJAC0002,023034,1981,07,15.0,Y
IDCJAC0002,023034,1981,08,15.0,Y
IDCJAC0002,023034,1981,09,19.5,Y
IDCJAC0002,023034,1981,10,21.2,Y
IDCJAC0002,023034,1981,11,23.4,Y
IDCJAC0002,023034,1981,12,25.7,Y
IDCJAC0002,023034,1982,01,30.3,Y
IDCJAC0002,023034,1982,02,28.6,Y
IDCJAC0002,023034,1982,03,26.2,Y
IDCJAC0002,023034,1982,04,21.9,Y
IDCJAC0002,023034,1982,05,18.2,Y
IDCJAC0002,023034,1982,06,14.8,Y
IDCJAC0002,023034,1982,07,14.6,Y
IDCJAC0002,023034,1982,08,19.1,Y
IDCJAC0002,023034,1982,09,18.2,Y
IDCJAC0002,023034,1982,10,21.0,Y
IDCJAC0002,023034,1982,11,26.5,Y
IDCJAC0002,023034,1982,12,26.7,Y
IDCJAC0002,023034,1983,01,27.4,Y
IDCJAC0002,023034,1983,02,31.0,Y
